movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class,-1,-1
uncertain,89,0.029736,03/10/2017,6,0.241695795022,0,1.625,0,-1,-1
okja,75,0.0,06/28/2017,0,1.25582870242,7.4,0.00964521193093,0,-1,-1
wonder-woman,76,412.563408,06/02/2017,4165,0.921307733993,7.8,0.0262639124084,0,-1,-1
a-woman-a-part,66,0.023562,03/22/2017,3,0.0,0,0.0,0,-1,-1
coco-2017,81,209.717761,11/22/2017,3987,0.54270504303,8.2,0.301834614866,0,-1,-1
it,69,327.481748,09/08/2017,4148,0.0,7.8,0.0,0,-1,-1
faces-places,95,0.953717,10/06/2017,42,1.49181488885,5.8,0.5,0,-1,-1
hell-on-earth-the-fall-of-syria-and-the-rise-of-isis,84,0.0,05/19/2017,0,0,0,0,0,-1,-1
long-strange-trip,78,0.351957,05/26/2017,56,0.31000672264,0,0.0337662337662,0,-1,-1
shadowman,78,0.013498,12/01/2017,4,2.77610177342,0,2.9243697479,0,-1,-1
dunkirk,94,190.06828,07/21/2017,4014,0.988160894154,8.4,0.0369869917393,1,5,5
jim-andy-the-great-beyond,77,0.0,11/17/2017,0,0.0,8.6,0.0,0,-1,-1
hissein-habre-a-chadian-tragedy,82,0.0,09/21/2017,0,0,0,0,0,-1,-1
soufra,77,0.0,11/17/2017,0,0.205714285714,0,0.321428571429,0,-1,-1
kill-me-please,69,0.0,09/01/2017,0,-0.686287596897,0,0.553246753247,0,-1,-1
mudbound,85,0.0,11/17/2017,0,1.16329978845,6.4,0.197135061392,0,-1,-1
our-time-will-come,82,0.11456,07/07/2017,18,0,5.5,0.571428571429,0,-1,-1
david-lynch-the-art-life,75,0.171419,03/31/2017,8,0.504761904762,8.6,0.1,0,-1,-1
all-this-panic,73,0.0,03/31/2017,0,0.060993880218,0,0.0112781954887,0,-1,-1
